SIN,nmol_T_g,nmol_T_g_dw_corrected,nmol_T_egg,g_egg,pct_moisture,pct_lipid_wet,year,site,group,WH_hatchery_id,USGS_id
PIST23_059,14.92679053,38.8654537,1.114417429,0.075142857,61.59367997,15.66217746,2023,PIST,Entry,NA,NA
PIST23_064,12.19993782,27.00428669,NA,NA,54.82221782,25.14694057,2023,PIST,Entry,NA,NA
PIST23_071,13.05986217,31.1990016,0.477027183,0.036592857,58.14012789,21.03809456,2023,PIST,Entry,NA,NA
PIST23_072,8.11395486,18.30604734,0.626515892,0.077709091,55.67609594,18.99702765,2023,PIST,Entry,NA,NA
PIST23_074,10.52062227,25.06139009,0.40256955,0.038410714,58.02059569,20.58984859,2023,PIST,Entry,NA,NA
PIST23_076,11.25059192,25.4731347,0.846099922,0.075115152,55.83350045,20.11419253,2023,PIST,Entry,NA,NA
PIST23_080,11.73679326,27.35237053,0.889157847,0.07575,57.09039826,17.81788196,2023,PIST,Entry,NA,NA
PIST23_085,12.8527379,29.69847056,0.847658533,0.065958333,56.72255959,19.16776185,2023,PIST,Entry,NA,NA
PIST23_086,9.120157778,20.90848805,0.85691715,0.0935,56.38059645,16.76159659,2023,PIST,Entry,NA,NA
PIST23_089,9.423919968,21.89086961,0.958311897,0.102375,56.95045406,17.06061984,2023,PIST,Entry,NA,NA
PIST23_091,19.91783648,44.61988671,0.813403404,0.04084375,55.36107788,19.04565312,2023,PIST,Entry,NA,NA
PIST23_092,14.15110092,32.64119581,0.709500512,0.050633333,56.64649971,22.3024301,2023,PIST,Entry,NA,NA
PIST23_093,15.87122425,36.31006516,0.759664485,0.047760417,56.289739,17.51493147,2023,PIST,Entry,NA,NA
PIST23_094,14.44438724,30.45683176,1.489681177,0.104258929,52.57422916,23.65603102,2023,PIST,Entry,NA,NA
PIST23_096,10.88874936,25.33029678,0.982071092,0.090410714,57.01294204,21.08021139,2023,PIST,Entry,NA,NA
PIST23_102,13.77256024,30.04204415,1.049082965,0.076242308,54.15571533,21.49130838,2023,PIST,Entry,NA,NA
PIST23_104,15.2091972,36.07601555,1.177548199,0.077613636,57.84125001,17.83201761,2023,PIST,Entry,NA,NA
PIST23_105,7.988740852,18.28111642,0.462661619,0.058528846,56.30058543,19.42438952,2023,PIST,Entry,NA,NA
PIST23_107,12.0428725,27.78523227,1.685475301,0.1401,56.65729053,18.45912897,2023,PIST,Entry,NA,NA
PIST23_110,16.5705112,38.06774781,1.049679772,0.063323232,56.47099672,20.48080166,2023,PIST,Entry,NA,NA
PIST23_112,9.132659647,20.4749209,1.53517036,0.168933333,55.39587336,19.56883787,2023,PIST,Entry,NA,NA
PIST23_113,16.9604237,36.40236779,1.3438299,0.07905,53.40846014,23.71547641,2023,PIST,Entry,NA,NA
PIST23_114,14.02583924,32.64160428,0.626726425,0.04455,57.03079077,21.79110378,2023,PIST,Entry,NA,NA
PIST23_116,18.12397767,40.06398788,NA,NA,54.76242225,15.76370567,2023,PIST,Entry,NA,NA
PIST23_122,16.44491427,35.75543111,NA,NA,54.00722699,21.13813971,2023,PIST,Entry,NA,NA
PIST23_130,13.10346193,32.22167619,1.010928132,0.077979167,59.33339455,18.57575349,2023,PIST,Entry,NA,NA
PIST23_131,14.1063694,32.35439702,1.593534218,0.111688889,56.40045651,20.61730618,2023,PIST,Entry,NA,NA
PIST23_132,18.04582211,40.96255069,1.078116685,0.059972222,55.94556051,15.97337879,2023,PIST,Entry,NA,NA
PIST23_134,12.96778664,30.36821065,0.851712379,0.065683333,57.29815368,19.95714647,2023,PIST,Entry,NA,NA
PIST23_135,12.19935181,28.00043242,0.717543745,0.058961538,56.43155923,17.47615142,2023,PIST,Entry,NA,NA
PIST23_140,12.3887898,28.53417673,0.765247886,0.062375,56.58262752,22.49718801,2023,PIST,Entry,NA,NA
PIST23_142,10.70000474,24.50982284,1.609779382,0.149770833,56.34401437,18.10049851,2023,PIST,Entry,NA,NA
PIST23_143,12.84179765,29.44067745,1.003398624,0.078218939,56.38076717,19.92243096,2023,PIST,Entry,NA,NA
PIST23_148,9.215291622,19.94097565,1.194072326,0.129642857,53.78715775,17.96179787,2023,PIST,Entry,NA,NA
PIST23_149,16.11950861,NA,1.427224985,0.0885125,NA,NA,2023,PIST,Entry,NA,NA
PIST23_150,11.11065944,26.09876557,1.209041759,0.108818182,57.42841012,16.13000488,2023,PIST,Entry,NA,NA
PIST23_152,14.93046085,32.93097923,1.119537785,0.075008333,54.66135172,20.07828105,2023,PIST,Entry,NA,NA
