ID,Site,Species,Date,Samplers,Fish Death Time,Blood Drawing Time,Harvest Gear Type,Latitude (N),Longitude (W),Fish ID,specimen_ID,Blood Vial Num,Muscle Vial Num (Vanessa),Muscle Bag Num (PSP - Bruce),Scale Card Num,Pelvic Fin Card,Adipose Fin,Length Mideye Fork (mm),Length Nose Fork (mm),Ich Visual Positive,Ich Visual Count,Photo Taken,Heart Vial Num qPCR,Heart Vial Num Histo,Liver Bag Num,Kidney Bag Num,Egg Vial 1 Num,Egg Vial 2 Num,Digestive Track Bag Num,Sex,Notes,Blood Notes at Fort Yukon
120,Rapids,Chinook,7/19/2023,"Scott T. Walter, Woods Nystedt",10:26 AM,10:27 AM,Fish Wheel,65.338488,-151.065382,120,120-R,120,120,,018-5,77601-5,Yes,831,883,Yes,19,Yes,120,120,,,120,120,,Female,-,
121,Rapids,Chinook,7/19/2023,"Scott T. Walter, Woods Nystedt",11:00 AM,11:14 AM,Fish Wheel,65.338488,-151.065382,121,121-R,121,121,,018-6,77601-6,Yes,846,908,Yes,38,Yes,121,121,,,121,121,,Female,-,
122,Rapids,Chinook,7/19/2023,"Scott T. Walter, Woods Nystedt",11:22 AM,11:42 AM,Fish Wheel,65.338488,-151.065382,122,122-R,122,122,,018-7,77601-7,Yes,732,788,Yes,107,Yes,122,122,,,122,122,,Female,-,
123,Rapids,Chinook,7/19/2023,"Scott T. Walter, Woods Nystedt",11:28 AM,11:47 AM,Fish Wheel,65.338488,-151.065382,123,123-R,123,123,,018-8,77601-8,Yes,745,811,No,0,Yes,123,123,,,123,123,,Female,-,
126,Rapids,Chinook,7/19/2023,"Scott T. Walter, Woods Nystedt",9:04 AM,9:06 AM,Fish Wheel,65.338488,-151.065382,126,126-R,126,126,,019-1,77597-1,Yes,778,844,Yes,23,Yes,126,126,,,126,126,,Female,"Very, very fat belly - fattest one so far. Very red. Flesh Pale. Big eggs - biggest eggs so far.",
135,Rapids,Chinook,7/20/2023,"Scott T. Walter, Woods Nystedt",9:15 AM,9:16 AM,Fish Wheel,65.338488,-151.065382,135,135-R,135,135,,020-7,77596-7,Yes,790,855,Yes,1200,Yes,135,135,,,135,135,,Female,"Yes, mega spots",
139,Rapids,Chinook,7/20/2023,"Scott T. Walter, Woods Nystedt",9:11 AM,9:12 AM,Fish Wheel,65.338488,-151.065382,139,139-R,139,139,,021-1,77600-1,Yes,732,779,Yes,150,Yes,139,139,,,139,139,,Female,-,
143,Rapids,Chinook,7/21/2023,"Scott T. Walter, Woods Nystedt",9:16 AM,9:17 AM,Fish Wheel,65.338488,-151.065382,143,143-R,143,143,,022-3,77595-3,Yes,775,825,No,0,Yes,143,143,,,143,143,,Female,-,
152,Rapids,Chinook,7/24/2023,"Scott T. Walter, Woods Nystedt",9:21 AM,9:22 AM,Fish Wheel,65.338488,-151.065382,152,152-R,152,152,,024-1,77598-1,Yes,715,773,No,0,Yes,152,152,,,152,152,,Female,Damaged tail and pectoral fin. All scales poor quality,
155,Rapids,Chinook,7/24/2023,"Scott T. Walter, Woods Nystedt",9:24 AM,9:25 AM,Fish Wheel,65.338488,-151.065382,155,155-R,155,155,,024-4,77598-4,Yes,766,817,No,0,Yes,155,155,,,155,155,,Female,-,
160,Rapids,Chinook,7/24/2023,"Scott T. Walter, Woods Nystedt",9:28 AM,9:28 AM,Fish Wheel,65.338488,-151.065382,160,160-R,160,160,,024-9,77598-9,Yes,822,898,No,0,Yes,160,160,,,160,160,,Female,1 quarter-sized lesion,
161,Rapids,Chinook,7/24/2023,"Scott T. Walter, Woods Nystedt",9:34 AM,9:35 AM,Fish Wheel,65.338488,-151.065382,161,161-R,161,161,,024-10,77598-10,Yes,683,744,No,0,Yes,161,161,,,161,161,,Female,-,
163,Rapids,Chinook,7/25/2023,"Scott T. Walter, Woods Nystedt",9:38 AM,9:39 AM,Fish Wheel,65.338488,-151.065382,163,163-R,163,163,,025-2,77594-2,Yes,835,894,Yes,450,Yes,163,163,,,163,163,,Female,"2"" long by 1"" wide, deep gash above pectoral fin",
165,Rapids,Chinook,7/25/2023,"Scott T. Walter, Woods Nystedt",9:42 AM,9:43 AM,Fish Wheel,65.338488,-151.065382,165,165-R,165,165,,025-4,77594-4,Yes,773,816,No,0,Yes,165,165,,,165,165,,Female,-,
170,Rapids,Chinook,7/25/2023,"Scott T. Walter, Woods Nystedt",9:00 AM,9:02 AM,Fish Wheel,65.338488,-151.065382,170,170-R,170,170,,025-9,77594-9,Yes,772,838,No,0,Yes,170,170,,,170,170,,Female,-,
175,Rapids,Chinook,7/26/2023,"Scott T. Walter, Woods Nystedt",9:26 AM,9:30 AM,Fish Wheel,65.338488,-151.065382,175,175-R,175,175,,026-5,77617-5,Yes,776,849,No,0,Yes,175,175,,,175,175,,Female,-,
176,Rapids,Chinook,7/26/2023,"Scott T. Walter, Woods Nystedt",9:37 AM,9:40 AM,Fish Wheel,65.338488,-151.065382,176,176-R,176,176,,026-6,77617-6,Yes,702,765,Yes,3,Yes,176,176,,,176,176,,Female,Damaged dorsal fin,
2,Rapids,Chinook,7/4/2023,"Scott T. Walter, Woods Nystedt",9:49 AM,9:52 AM,Fish Wheel,65.338488,-151.065382,12,12-R,12,12,,003-7,77593-7,Yes,612,664,No,0,Yes,12,12,,,,,,Male,-,
3,Rapids,Chinook,7/5/2023,"Scott T. Walter, Woods Nystedt",9:58 AM,10:01 AM,Fish Wheel,65.338488,-151.065382,13,13-R,13,13,,004-1,77583-1,Yes,626,680,No,0,Yes,13,13,,,,,,Male,"Blood sat for 36 hours at room temp, then serum removed",
4,Rapids,Chinook,7/5/2023,"Scott T. Walter, Woods Nystedt",10:03 AM,10:04 AM,Fish Wheel,65.338488,-151.065382,14,14-R,14,14,,004-2,77583-2,Yes,924,1002,No,0,Yes,14,14,,,,,,Male,"Blood sat for 36 hours at room temp, then serum removed",
8,Rapids,Chinook,7/5/2023,"Scott T. Walter, Woods Nystedt",10:41 AM,10:43 AM,Fish Wheel,65.338488,-151.065382,18,18-R,18,18,,004-6,77583-6,Yes,720,788,No,0,Yes,18,18,,,,,,Female,"2 quarter-sized and 1 large lesion, Blood sat for 36 hours at room temp, then serum removed",
9,Rapids,Chinook,7/5/2023,"Scott T. Walter, Woods Nystedt",11:44 AM,11:57 AM,Fish Wheel,65.338488,-151.065382,19,19-R,19,19,,004-7,77583-7,Yes,698,755,Yes,83,Yes,19,19,,,,,,Male,1 quarter-sized lesion,
10,Rapids,Chinook,7/5/2023,"Scott T. Walter, Woods Nystedt",11:45 AM,11:59 AM,Fish Wheel,65.338488,-151.065382,20,20-R,20,20,20,004-8,77583-8,Yes,734,815,Yes,55,Yes,20,20,20,20,,,20,Male,"Possible old net scars between pelvic and anal fins, Cloudy serum",
11,Rapids,Chinook,7/5/2023,"Scott T. Walter, Woods Nystedt",12:35 PM,12:30 PM,Fish Wheel,65.338488,-151.065382,21,21-R,21,21,,004-9,77583-9,Yes,616,662,Yes,40,Yes,21,21,,,,,,Male,Cloudy serum,
12,Rapids,Chinook,7/6/2023,"Scott T. Walter, Woods Nystedt",12:35 PM,12:35 PM,Fish Wheel,65.338488,-151.065382,22,22-R,22,22,,005-1,77584-1,Yes,664,729,Yes,2,Yes,22,22,,,,,,Male,,
15,Rapids,Chinook,7/6/2023,"Scott T. Walter, Woods Nystedt",9:00 AM,9:03 AM,Fish Wheel,65.338488,-151.065382,25,25-R,25,25,,005-4,77584-4,Yes,695,760,No,0,Yes,25,25,,,,,,Male,-,
16,Rapids,Chinook,7/6/2023,"Scott T. Walter, Woods Nystedt",9:06 AM,9:07 AM,Fish Wheel,65.338488,-151.065382,26,26-R,26,26,,005-5,77584-5,Yes,565,610,No,0,Yes,26,26,,,,,,Male,-,
17,Rapids,Chinook,7/6/2023,"Scott T. Walter, Woods Nystedt",9:22 AM,9:23 AM,Fish Wheel,65.338488,-151.065382,27,27-R,27,27,,005-6,77584-6,Yes,557,606,No,0,Yes,27,27,,,,,,Male,Serum didn't separate well so Morag drew up some unseparated blood instead for the serum tube. Net marks on head.,
18,Rapids,Chinook,7/6/2023,"Scott T. Walter, Woods Nystedt",9:26 AM,9:28 AM,Fish Wheel,65.338488,-151.065382,28,28-R,28,28,,005-7,77584-7,Yes,809,892,No,0,Yes,28,28,,,,,,Male,Serum didn't separate well so Morag drew up some unseparated blood instead for the serum tube.,
19,Rapids,Chinook,7/6/2023,"Scott T. Walter, Woods Nystedt",9:31 AM,9:32 AM,Fish Wheel,65.338488,-151.065382,29,29-R,29,29,,005-8,77584-8,Yes,597,654,Yes,1,Yes,29,29,,,,,,Male,Lower jaw tore up,
20,Rapids,Chinook,7/6/2023,"Scott T. Walter, Woods Nystedt",9:34 AM,9:36 AM,Fish Wheel,65.338488,-151.065382,30,30-R,30,30,,005-9,77584-9,Yes,732,802,No,0,Yes,30,30,,,,,,Male,1 cut on gill,
21,Rapids,Chinook,7/7/2023,"Scott T. Walter, Woods Nystedt",10:04 AM,10:05 AM,Fish Wheel,65.338488,-151.065382,31,31-R,31,31,,006-1,77580-1,Yes,723,784,No,0,Yes,31,31,,,,,,Male,,
23,Rapids,Chinook,7/7/2023,"Scott T. Walter, Woods Nystedt",10:41 AM,10:43 AM,Fish Wheel,65.338488,-151.065382,33,33-R,33,33,,006-3,77580-3,Yes,759,824,Yes,39,Yes,33,33,,,,,,Male,-,
25,Rapids,Chinook,7/7/2023,"Scott T. Walter, Woods Nystedt",11:02 AM,11:20 AM,Fish Wheel,65.338488,-151.065382,35,35-R,35,35,,006-5,77580-5,Yes,619,680,No,0,Yes,35,35,,,,,,Male,-,
26,Rapids,Chinook,7/7/2023,"Scott T. Walter, Woods Nystedt",11:25 AM,11:30 AM,Fish Wheel,65.338488,-151.065382,36,36-R,36,36,,006-6,77580-6,Yes,790,860,Yes,600,Yes,36,36,,,,,,Male,Light pink heart,
27,Rapids,Chinook,7/7/2023,"Scott T. Walter, Woods Nystedt",11:55 AM,11:57 AM,Fish Wheel,65.338488,-151.065382,37,37-R,37,37,,006-7,77580-7,Yes,709,776,No,0,Yes,37,37,,,,,,Male,Massive scarring on side and belly,
29,Rapids,Chinook,7/7/2023,"Scott T. Walter, Woods Nystedt",11:55 AM,12:05 PM,Fish Wheel,65.338488,-151.065382,39,39-R,39,39,,006-9,77580-9,Yes,632,685,Yes,16,Yes,39,39,,,,,,Male,-,
30,Rapids,Chinook,7/10/2023,"Scott T. Walter, Woods Nystedt",9:20 AM,9:22 AM,Fish Wheel,65.338488,-151.065382,40,40-R,40,40,,007-1,77588-1,Yes,695,760,No,0,Yes,40,40,,,,,,Male,1 quarter-sized lesion,
31,Rapids,Chinook,7/10/2023,"Scott T. Walter, Woods Nystedt",9:25 AM,9:27 AM,Fish Wheel,65.338488,-151.065382,41,41-R,41,41,,007-2,77588-2,Yes,694,759,No,0,Yes,41,41,,,,,,Male,Skin more pink than usual,
33,Rapids,Chinook,7/10/2023,"Scott T. Walter, Woods Nystedt",9:31 AM,9:32 AM,Fish Wheel,65.338488,-151.065382,43,43-R,43,43,,007-4,77588-4,Yes,752,830,No,0,Yes,43,43,,,,,,Male,-,
34,Rapids,Chinook,7/10/2023,"Scott T. Walter, Woods Nystedt",9:41 AM,9:43 AM,Fish Wheel,65.338488,-151.065382,44,44-R,44,44,,007-5,77588-5,Yes,777,852,Yes,26,Yes,44,44,,,,,,Male,-,
