ID,Site,Species,Date,Samplers,Fish Death Time,Blood Drawing Time,Harvest Gear Type,Latitude (N),Longitude (W),Fish ID,specimen_ID,Blood Vial Num,Muscle Vial Num (Vanessa),Muscle Bag Num (PSP - Bruce),Scale Card Num,Pelvic Fin Card,Adipose Fin,Length Mideye Fork (mm),Length Nose Fork (mm),Ich Visual Positive,Ich Visual Count,Photo Taken,Heart Vial Num qPCR,Heart Vial Num Histo,Liver Bag Num,Kidney Bag Num,Egg Vial 1 Num,Egg Vial 2 Num,Digestive Track Bag Num,Sex,Notes,Blood Notes at Fort Yukon
78,Rapids,Chinook,7/13/2023,"Scott T. Walter, Woods Nystedt",8:53 AM,8:55 AM,Fish Wheel,65.338488,-151.065382,78,78-R,78,78,,011-1,77591-1,Yes,620,670,Yes,200,Yes,78,78,,,,,,Male,-,
79,Rapids,Chinook,7/14/2023,"Scott T. Walter, Woods Nystedt",9:43 AM,9:44 AM,Fish Wheel,65.338488,-151.065382,79,79-R,79,79,,012-1,77582-1,Yes,692,755,No,0,Yes,79,79,,,,,,Male,-,
81,Rapids,Chinook,7/14/2023,"Scott T. Walter, Woods Nystedt",10:46 AM,10:47 AM,Fish Wheel,65.338488,-151.065382,81,81-R,81,81,,012-3,77582-3,Yes,720,795,No,0,Yes,81,81,,,,,,Male,-,
82,Rapids,Chinook,7/14/2023,"Scott T. Walter, Woods Nystedt",11:27 AM,11:29 AM,Fish Wheel,65.338488,-151.065382,82,82-R,82,82,,012-4,77582-4,Yes,696,763,Yes,60,Yes,82,82,,,,,,Male,-,
83,Rapids,Chinook,7/14/2023,"Scott T. Walter, Woods Nystedt",11:48 AM,11:50 AM,Fish Wheel,65.338488,-151.065382,83,83-R,83,83,,012-5,77582-5,Yes,672,721,No,0,Yes,83,83,,,,,,Male,-,
84,Rapids,Chinook,7/14/2023,"Scott T. Walter, Woods Nystedt",12:15 PM,12:15 PM,Fish Wheel,65.338488,-151.065382,84,84-R,84,84,,012-6,77582-6,Yes,704,773,No,0,Yes,84,84,,,,,,Male,-,
85,Rapids,Chinook,7/14/2023,"Scott T. Walter, Woods Nystedt",12:40 PM,12:50 PM,Fish Wheel,65.338488,-151.065382,85,85-R,85,85,,012-7,77582-7,Yes,637,715,No,0,Yes,85,85,,,,,,Male,Very red. Flesh Pale,
86,Rapids,Chinook,7/14/2023,"Scott T. Walter, Woods Nystedt",1:00 PM,1:05 PM,Fish Wheel,65.338488,-151.065382,86,86-R,86,86,,012-8,77582-8,Yes,707,775,No,0,Yes,86,86,,,,,,Male,Red,
91,Rapids,Chinook,7/17/2023,"Scott T. Walter, Woods Nystedt",1:50 PM,2:03 PM,Fish Wheel,65.338488,-151.065382,91,91-R,91,91,,014-1,77586-1,Yes,648,697,No,0,Yes,91,91,,,,,,Male,"2"" long by 1"" wide gash on side",
92,Rapids,Chinook,7/17/2023,"Scott T. Walter, Woods Nystedt",1:50 PM,2:05 PM,Fish Wheel,65.338488,-151.065382,92,92-R,92,92,,014-2,77586-2,Yes,662,712,Yes,70,Yes,92,92,,,,,,Male,-,
93,Rapids,Chinook,7/17/2023,"Scott T. Walter, Woods Nystedt",1:50 PM,2:08 PM,Fish Wheel,65.338488,-151.065382,93,93-R,93,93,,014-3,77586-3,Yes,635,681,Yes,25,Yes,93,93,,,,,,Male,"2"" by 2"" gash on side",
94,Rapids,Chinook,7/17/2023,"Scott T. Walter, Woods Nystedt",1:50 PM,2:12 PM,Fish Wheel,65.338488,-151.065382,94,94-R,94,94,,014-4,77586-4,Yes,824,885,Yes,800,Yes,94,94,,,,,,Male,"Small 1"" gash on underside. Cut through worm?? Or something white in the heart",
95,Rapids,Chinook,7/17/2023,"Scott T. Walter, Woods Nystedt",8:58 AM,9:00 AM,Fish Wheel,65.338488,-151.065382,95,95-R,95,95,,014-5,77586-5,Yes,639,690,Yes,49,Yes,95,95,,,,,,Male,-,
96,Rapids,Chinook,7/17/2023,"Scott T. Walter, Woods Nystedt",9:04 AM,9:07 AM,Fish Wheel,65.338488,-151.065382,96,96-R,96,96,,014-6,77586-6,Yes,816,877,No,0,Yes,96,96,,,,,,Male,-,
98,Rapids,Chinook,7/17/2023,"Scott T. Walter, Woods Nystedt",9:11 AM,9:13 AM,Fish Wheel,65.338488,-151.065382,98,98-R,98,98,,014-8,77586-8,Yes,644,701,Yes,40,Yes,98,98,,,,,,Male,Some damage on 1 pelvic fin,
99,Rapids,Chinook,7/17/2023,"Scott T. Walter, Woods Nystedt",9:16 AM,9:19 AM,Fish Wheel,65.338488,-151.065382,99,99-R,99,99,,014-9,77586-9,Yes,609,662,Yes,17,Yes,99,99,,,,,,Male,-,
100,Rapids,Chinook,7/17/2023,"Scott T. Walter, Woods Nystedt",9:21 AM,9:24 AM,Fish Wheel,65.338488,-151.065382,100,100-R,100,100,,014-10,77586-10,Yes,756,824,No,0,Yes,100,100,,,,,,Male,-,
101,Rapids,Chinook,7/17/2023,"Scott T. Walter, Woods Nystedt",9:54 AM,9:57 AM,Fish Wheel,65.338488,-151.065382,101,101-R,101,101,,015-1,77590-1,Yes,846,940,Yes,3,Yes,101,101,,,,,,Male,-,
102,Rapids,Chinook,7/17/2023,"Scott T. Walter, Woods Nystedt",12:17 PM,12:20 PM,Fish Wheel,65.338488,-151.065382,102,102-R,102,102,102,015-2,77590-2,Yes,532,583,No,0,Yes,102,102,102,102,,,102,Male,-,
103,Rapids,Chinook,7/18/2023,"Scott T. Walter, Woods Nystedt",12:42 PM,12:45 PM,Fish Wheel,65.338488,-151.065382,103,103-R,103,103,,016-1,77609-1,Yes,725,779,Yes,80,Yes,103,103,,,,,,Male,-,
104,Rapids,Chinook,7/18/2023,"Scott T. Walter, Woods Nystedt",12:49 PM,12:52 PM,Fish Wheel,65.338488,-151.065382,104,104-R,104,104,,016-2,77609-2,Yes,468,505,Yes,250,Yes,104,104,,,,,,Male,-,
105,Rapids,Chinook,7/18/2023,"Scott T. Walter, Woods Nystedt",12:56 PM,12:58 PM,Fish Wheel,65.338488,-151.065382,105,105-R,105,105,,016-3,77609-3,Yes,644,708,No,0,Yes,105,105,,,,,,Male,Very red. Flesh Pale,
106,Rapids,Chinook,7/18/2023,"Scott T. Walter, Woods Nystedt",1:25 PM,1:45 AM,Fish Wheel,65.338488,-151.065382,106,106-R,106,106,,016-4,77609-4,Yes,600,644,Yes,36,Yes,106,106,,,,,,Male,-,
108,Rapids,Chinook,7/18/2023,"Scott T. Walter, Woods Nystedt",8:58 AM,9:00 AM,Fish Wheel,65.338488,-151.065382,108,108-R,108,108,,016-6,77609-6,Yes,578,618,No,0,Yes,108,108,,,,,,Male,-,
110,Rapids,Chinook,7/18/2023,"Scott T. Walter, Woods Nystedt",9:09 AM,9:11 AM,Fish Wheel,65.338488,-151.065382,110,110-R,110,110,,016-8,77609-8,Yes,853,933,No,0,Yes,110,110,,,,,,Male,1 quarter-sized lesion. Red,
112,Rapids,Chinook,7/18/2023,"Scott T. Walter, Woods Nystedt",9:16 AM,9:19 AM,Fish Wheel,65.338488,-151.065382,112,112-R,112,112,,016-10,77609-10,Yes,631,687,Yes,350,Yes,112,112,,,,,,Male,-,
113,Rapids,Chinook,7/18/2023,"Scott T. Walter, Woods Nystedt",9:28 AM,9:30 AM,Fish Wheel,65.338488,-151.065382,113,113-R,113,113,,017-1,77605-1,Yes,701,771,No,0,Yes,113,113,,,,,,Male,"Net marks on face up to the nare (probably 4"" net). Heart looks kind of bruised.",
116,Rapids,Chinook,7/19/2023,"Scott T. Walter, Woods Nystedt",9:35 AM,9:37 AM,Fish Wheel,65.338488,-151.065382,116,116-R,116,116,,018-1,77601-1,Yes,542,585,No,0,Yes,116,116,,,,,,Male,-,
118,Rapids,Chinook,7/19/2023,"Scott T. Walter, Woods Nystedt",9:51 AM,9:55 AM,Fish Wheel,65.338488,-151.065382,118,118-R,118,118,,018-3,77601-3,Yes,623,674,Yes,11,Yes,118,118,,,,,,Male,-,
124,Rapids,Chinook,7/19/2023,"Scott T. Walter, Woods Nystedt",10:31 AM,10:49 AM,Fish Wheel,65.338488,-151.065382,124,124-R,124,124,,018-9,77601-9,Yes,645,705,No,0,Yes,124,124,,,,,,Male,"2"" cut on peduncle",
125,Rapids,Chinook,7/19/2023,"Scott T. Walter, Woods Nystedt",10:50 AM,10:55 AM,Fish Wheel,65.338488,-151.065382,125,125-R,125,125,,018-10,77601-10,Yes,621,674,Yes,600,Yes,125,125,,,,,,Male,-,
127,Rapids,Chinook,7/19/2023,"Scott T. Walter, Woods Nystedt",10:52 AM,11:09 AM,Fish Wheel,65.338488,-151.065382,127,127-R,127,127,,019-2,77597-2,Yes,668,725,No,0,Yes,127,127,,,,,,Male,-,
128,Rapids,Chinook,7/19/2023,"Scott T. Walter, Woods Nystedt",10:52 AM,11:15 AM,Fish Wheel,65.338488,-151.065382,128,128-R,128,128,128,019-3,77597-3,Yes,680,738,No,0,Yes,128,128,128,128,,,128,Male,-,
129,Rapids,Chinook,7/20/2023,"Scott T. Walter, Woods Nystedt",9:01 AM,9:03 AM,Fish Wheel,65.338488,-151.065382,129,129-R,129,129,,020-1,77596-1,Yes,710,764,Yes,8,Yes,129,129,,,,,,Male,-,
130,Rapids,Chinook,7/20/2023,"Scott T. Walter, Woods Nystedt",9:08 AM,9:10 AM,Fish Wheel,65.338488,-151.065382,130,130-R,130,130,,020-2,77596-2,Yes,672,731,Yes,200,Yes,130,130,,,,,,Male,-,
131,Rapids,Chinook,7/20/2023,"Scott T. Walter, Woods Nystedt",9:14 AM,9:16 AM,Fish Wheel,65.338488,-151.065382,131,131-R,131,131,,020-3,77596-3,Yes,518,555,No,0,Yes,131,131,,,,,,Male,"1"" cut on peduncle",
132,Rapids,Chinook,7/20/2023,"Scott T. Walter, Woods Nystedt",9:20 AM,9:23 AM,Fish Wheel,65.338488,-151.065382,132,132-R,132,132,,020-4,77596-4,Yes,497,540,No,0,Yes,132,132,,,,,,Male,-,
133,Rapids,Chinook,7/20/2023,"Scott T. Walter, Woods Nystedt",10:40 AM,10:50 AM,Fish Wheel,65.338488,-151.065382,133,133-R,133,133,,020-5,77596-5,Yes,825,890,No,0,Yes,133,133,,,,,,Male,-,
134,Rapids,Chinook,7/20/2023,"Scott T. Walter, Woods Nystedt",10:51 AM,10:55 AM,Fish Wheel,65.338488,-151.065382,134,134-R,134,134,,020-6,77596-6,Yes,676,745,No,0,Yes,134,134,,,,,,Male,-,
136,Rapids,Chinook,7/20/2023,"Scott T. Walter, Woods Nystedt",11:22 AM,11:28 AM,Fish Wheel,65.338488,-151.065382,136,136-R,136,136,,020-8,77596-8,Yes,650,706,Yes,24,Yes,136,136,,,,,,Male,1 quarter-sized lesion,
137,Rapids,Chinook,7/20/2023,"Scott T. Walter, Woods Nystedt",11:23 AM,11:31 AM,Fish Wheel,65.338488,-151.065382,137,137-R,137,137,,020-9,77596-9,Yes,483,524,No,0,Yes,137,137,,,,,,Male,-,
138,Rapids,Chinook,7/20/2023,"Scott T. Walter, Woods Nystedt",11:18 AM,11:40 AM,Fish Wheel,65.338488,-151.065382,138,138-R,138,138,,020-10,77596-10,Yes,643,698,Yes,200,Yes,138,138,,,,,,Male,-,
140,Rapids,Chinook,7/20/2023,"Scott T. Walter, Woods Nystedt",8:56 AM,8:58 AM,Fish Wheel,65.338488,-151.065382,140,140-R,140,140,,021-2,77600-2,Yes,749,801,No,0,Yes,140,140,,,,,,Male,-,
141,Rapids,Chinook,7/21/2023,"Scott T. Walter, Woods Nystedt",11:00 AM,11:15 AM,Fish Wheel,65.338488,-151.065382,141,141-R,141,141,,022-1,77595-1,Yes,706,762,No,0,Yes,141,141,,,,,,Male,-,
142,Rapids,Chinook,7/21/2023,"Scott T. Walter, Woods Nystedt",11:30 AM,11:35 AM,Fish Wheel,65.338488,-151.065382,142,142-R,142,142,,022-2,77595-2,Yes,607,662,No,0,Yes,142,142,,,,,,Male,-,
144,Rapids,Chinook,7/21/2023,"Scott T. Walter, Woods Nystedt",12:05 PM,12:28 PM,Fish Wheel,65.338488,-151.065382,144,144-R,144,144,,022-4,77595-4,Yes,817,882,No,0,Yes,144,144,,,,,,Male,1 quarter-sized lesion on side. Dorsal fin damaged,
145,Rapids,Chinook,7/21/2023,"Scott T. Walter, Woods Nystedt",12:05 PM,12:34 PM,Fish Wheel,65.338488,-151.065382,145,145-R,145,145,,022-5,77595-5,Yes,554,601,No,0,Yes,145,145,,,,,,Male,-,
146,Rapids,Chinook,7/21/2023,"Scott T. Walter, Woods Nystedt",12:05 PM,12:39 PM,Fish Wheel,65.338488,-151.065382,146,146-R,146,146,,022-6,77595-6,Yes,675,736,Yes,15,Yes,146,146,,,,,,Male,-,
147,Rapids,Chinook,7/21/2023,"Scott T. Walter, Woods Nystedt",9:00 AM,9:01 AM,Fish Wheel,65.338488,-151.065382,147,147-R,147,147,,022-7,77595-7,Yes,563,607,No,0,Yes,147,147,,,,,,Male,Somewhat green back,
148,Rapids,Chinook,7/21/2023,"Scott T. Walter, Woods Nystedt",9:27 AM,9:30 AM,Fish Wheel,65.338488,-151.065382,148,148-R,148,148,,022-8,77595-8,Yes,493,534,No,0,Yes,148,148,,,,,,Male,-,
149,Rapids,Chinook,7/21/2023,"Scott T. Walter, Woods Nystedt",9:34 AM,9:36 AM,Fish Wheel,65.338488,-151.065382,149,149-R,149,149,,022-9,77595-9,Yes,623,674,No,0,Yes,149,149,,,,,,Male,-,
150,Rapids,Chinook,7/21/2023,"Scott T. Walter, Woods Nystedt",10:28 AM,10:30 AM,Fish Wheel,65.338488,-151.065382,150,150-R,150,150,,022-10,77595-10,Yes,511,563,No,0,Yes,150,150,,,,,,Male,-,
151,Rapids,Chinook,7/21/2023,"Scott T. Walter, Woods Nystedt",1:45 PM,1:50 PM,Fish Wheel,65.338488,-151.065382,151,151-R,151,151,,023-1,77599-1,Yes,529,569,No,0,Yes,151,151,,,,,,Male,-,
153,Rapids,Chinook,7/24/2023,"Scott T. Walter, Woods Nystedt",3:55 PM,4:02 PM,Fish Wheel,65.338488,-151.065382,153,153-R,153,153,,024-2,77598-2,Yes,846,915,Yes,133,Yes,153,153,,,,,,Male,Heart had white worm-like something inside. Now in whirl-pak with remaining heart,
154,Rapids,Chinook,7/24/2023,"Scott T. Walter, Woods Nystedt",8:45 AM,8:45 AM,Fish Wheel,65.338488,-151.065382,154,154-R,154,154,,024-3,77598-3,No,567,607,Yes,16,Yes,154,154,,,,,,Male,Adipose photo taken,
156,Rapids,Chinook,7/24/2023,"Scott T. Walter, Woods Nystedt",8:45 AM,8:45 AM,Fish Wheel,65.338488,-151.065382,156,156-R,156,156,,024-5,77598-5,Yes,633,680,Yes,20,Yes,156,156,,,,,,Male,-,
157,Rapids,Chinook,7/24/2023,"Scott T. Walter, Woods Nystedt",9:04 AM,9:43 AM,Fish Wheel,65.338488,-151.065382,157,157-R,157,157,157,024-6,77598-6,Yes,615,658,No,0,Yes,157,157,157,157,,,157,Male,-,
158,Rapids,Chinook,7/24/2023,"Scott T. Walter, Woods Nystedt",9:43 AM,10:09 AM,Fish Wheel,65.338488,-151.065382,158,158-R,158,158,,024-7,77598-7,Yes,854,948,No,0,Yes,158,158,,,,,,Male,-,
159,Rapids,Chinook,7/24/2023,"Scott T. Walter, Woods Nystedt",9:07 AM,9:10 AM,Fish Wheel,65.338488,-151.065382,159,159-R,159,159,,024-8,77598-8,Yes,684,752,Yes,20,Yes,159,159,,,,,,Male,-,
162,Rapids,Chinook,7/25/2023,"Scott T. Walter, Woods Nystedt",10:37 AM,10:40 AM,Fish Wheel,65.338488,-151.065382,162,162-R,162,162,,025-1,77594-1,Yes,610,666,No,0,Yes,162,162,,,,,,Male,-,
164,Rapids,Chinook,7/25/2023,"Scott T. Walter, Woods Nystedt",2:58 PM,3:02 PM,Fish Wheel,65.338488,-151.065382,164,164-R,164,164,,025-3,77594-3,Yes,718,773,No,0,Yes,164,164,,,,,,Male,Slight damage on edges of caudal fin,
166,Rapids,Chinook,7/25/2023,"Scott T. Walter, Woods Nystedt",3:37 PM,3:39 PM,Fish Wheel,65.338488,-151.065382,166,166-R,166,166,,025-5,77594-5,Yes,641,696,No,0,Yes,166,166,,,,,,Male,-,
167,Rapids,Chinook,7/25/2023,"Scott T. Walter, Woods Nystedt",,4:20 PM,Fish Wheel,65.338488,-151.065382,167,167-R,167,167,,025-6,77594-6,Yes,664,726,Yes,127,Yes,167,167,,,,,,Male,"2"" open gash connected to healed wound between pectoral fins. 1 pectoral fin nearly cut off",
168,Rapids,Chinook,7/25/2023,"Scott T. Walter, Woods Nystedt",,4:20 PM,Fish Wheel,65.338488,-151.065382,168,168-R,168,168,,025-7,77594-7,Yes,620,677,Yes,200,Yes,168,168,,,,,,Male,-,
169,Rapids,Chinook,7/25/2023,"Scott T. Walter, Woods Nystedt",4:55 PM,5:07 PM,Fish Wheel,65.338488,-151.065382,169,169-R,169,169,,025-8,77594-8,Yes,677,738,Yes,150,Yes,169,169,,,,,,Male,-,
171,Rapids,Chinook,7/26/2023,"Scott T. Walter, Woods Nystedt",5:00 PM,5:30 PM,Fish Wheel,65.338488,-151.065382,171,171-R,171,171,,026-1,77617-1,Yes,721,777,Yes,1200,Yes,171,171,,,,,,Male,Base of tail fin damaged,
172,Rapids,Chinook,7/26/2023,"Scott T. Walter, Woods Nystedt",10:58 AM,11:22 AM,Fish Wheel,65.338488,-151.065382,172,172-R,172,172,,026-2,77617-2,Yes,644,699,Yes,68,Yes,172,172,,,,,,Male,-,
173,Rapids,Chinook,7/26/2023,"Scott T. Walter, Woods Nystedt",10:58 AM,11:24 AM,Fish Wheel,65.338488,-151.065382,173,173-R,173,173,173,026-3,77617-3,Yes,743,803,No,0,Yes,173,173,173,173,,,173,Male,-,
174,Rapids,Chinook,7/26/2023,"Scott T. Walter, Woods Nystedt",11:27 AM,12:05 PM,Fish Wheel,65.338488,-151.065382,174,174-R,174,174,,026-4,77617-4,Yes,740,816,Yes,55,Yes,174,174,,,,,,Male,-,
177,Rapids,Chinook,7/27/2023,"Scott T. Walter, Woods Nystedt",1:25 PM,1:40 PM,Fish Wheel,65.338488,-151.065382,177,177-R,177,177,,027-1,77615-1,Yes,620,669,No,0,Yes,177,177,,,,,,Male,1 quarter-sized lesion. Dorsal fin slightly damaged,
178,Rapids,Chinook,7/27/2023,"Scott T. Walter, Woods Nystedt",1:55 PM,2:00 PM,Fish Wheel,65.338488,-151.065382,178,178-R,178,178,,027-2,77615-2,Yes,467,504,No,0,Yes,178,178,,,,,,Male,Super tiny,
179,Rapids,Chinook,7/27/2023,"Scott T. Walter, Woods Nystedt",3:30 PM,3:50 PM,Fish Wheel,65.338488,-151.065382,179,179-R,179,179,,027-3,77615-3,Yes,682,752,Yes,83,Yes,179,179,,,,,,Male,-,
180,Rapids,Chinook,7/27/2023,"Scott T. Walter, Woods Nystedt",4:00 PM,4:45 PM,Fish Wheel,65.338488,-151.065382,180,180-R,180,180,,027-4,77615-4,Yes,890,980,No,0,Yes,180,180,,,,,,Male,Bleeding heavily out of mouth when taking blood (likely from blow to head when killing fish). Heart had extensive cream-colored areas (fat?) - see photos.,
181,Fort Yukon,Chinook,7/10/2023,"Keith Herron, Jaden Andrew",4:52 PM,4:59 PM,Fish Wheel,66.571148,-145.525657,1,1-F,1,1,,001-1,69901-1,Yes,702,760,Yes,100,Yes,1,1,1,1,,,1,Male,Skinny,"Separated well, < 24 hours"
182,Fort Yukon,Chinook,7/10/2023,"Keith Herron, Jaden Andrew",11:40 AM,12:24 PM,Fish Wheel,66.571148,-145.525657,2,2-F,2,2,,001-2,69901-2,Yes,656,714,Yes,8,Yes,2,2,,,,,,Male,Hard yellow 2mm lesion on heart,"Separated well, < 24 hours"
183,Fort Yukon,Chinook,7/11/2023,"Keith Herron, Jaden Andrew",11:46 AM,12:30 PM,Fish Wheel,66.568393,-145.491025,3,3-F,3,3,,002-1,69909-1,Yes,668,734,No,0,Yes,3,3,,,,,,Male,"Rigor, unknown death time","Separated well, < 24 hours"
185,Fort Yukon,Chinook,7/11/2023,"Keith Herron, Jaden Andrew",12:39 PM,1:09 PM,Fish Wheel,66.571148,-145.525657,5,5-F,5,5,,002-3,69909-3,Yes,622,686,No,0,Yes,5,5,,,,,,Male,,"Separated well, < 24 hours"
186,Fort Yukon,Chinook,7/11/2023,"Keith Herron, Jaden Andrew",2:08 PM,2:40 PM,Fish Wheel,66.571148,-145.525657,6,6-F,6,6,,002-4,69909-4,Yes,694,752,Yes,175,Yes,6,6,,,,,,Male,Pale,"Separated well, < 24 hours"
188,Fort Yukon,Chinook,7/12/2023,"Keith Herron, Jaden Andrew",2:20 PM,2:40 PM,Fish Wheel,66.571148,-145.525657,8,8-F,8,8,,003-2,69905-2,Yes,604,652,No,0,Yes,8,8,,,,,,Male,,Spun 5 mins centrifuge < 24 hours
189,Fort Yukon,Chinook,7/12/2023,"Keith Herron, Jaden Andrew",2:45 PM,3:00 PM,Fish Wheel,66.571148,-145.525657,9,9-F,9,9,,003-3,69905-3,Yes,842,912,Yes,10,Yes,9,9,,,,,,Male,,"Separated well, < 24 hours"
191,Fort Yukon,Chinook,7/12/2023,"Keith Herron, Jaden Andrew",4:10 PM,4:32 PM,Fish Wheel,66.571148,-145.525657,11,11-F,11,11,,003-5,69905-5,Yes,710,772,No,0,Yes,11,11,,,,,,Male,"Apex of heart in qPCR vial, not quartered","Separated well, < 24 hours"
192,Fort Yukon,Chinook,7/12/2023,"Keith Herron, Jaden Andrew",11:55 AM,12:10 PM,Fish Wheel,66.571148,-145.525657,12,12-F,12,12,,003-6,69905-6,Yes,714,776,No,0,Yes,12,12,,,,,,Male,,"Separated well, < 24 hours"
193,Fort Yukon,Chinook,7/12/2023,"Keith Herron, Jaden Andrew",12:45 PM,1:00 PM,Fish Wheel,66.571148,-145.525657,13,13-F,13,13,,003-7,69905-7,Yes,698,770,Yes,40,Yes,13,13,,,,,,Male,"Huge gash, older","Separated well, < 24 hours"
194,Fort Yukon,Chinook,7/12/2023,"Keith Herron, Jaden Andrew",2:28 PM,2:36 PM,Fish Wheel,66.571148,-145.525657,14,14-F,14,14,,003-8,69905-8,Yes,608,656,No,0,Yes,14,14,,,,,,Male,,"Separated well, < 24 hours"
196,Fort Yukon,Chinook,7/13/2023,"Keith Herron, Jaden Andrew",2:45 PM,2:56 PM,Fish Wheel,66.571148,-145.525657,16,16-F,16,16,,004-2,69913-2,Yes,754,822,No,0,Yes,16,16,,,,,,Male,,"Separated well, < 24 hours"
197,Fort Yukon,Chinook,7/13/2023,"Keith Herron, Jaden Andrew",4:35 PM,4:40 PM,Fish Wheel,66.571148,-145.525657,17,17-F,17,17,,004-3,69913-3,Yes,698,740,No,0,Yes,17,17,,,,,,Male,,"Separated well, < 24 hours"
198,Fort Yukon,Chinook,7/13/2023,"Keith Herron, Jaden Andrew",6:40 PM,6:43 PM,Fish Wheel,66.568393,-145.491025,18,18-F,18,18,,004-4,69913-4,Yes,822,894,Yes,35,Yes,18,18,,,,,,Male,,"Separated well, < 24 hours"
199,Fort Yukon,Chinook,7/13/2023,"Keith Herron, Jaden Andrew",12:30 PM,12:40 PM,Fish Wheel,66.571148,-145.525657,19,19-F,19,19,,004-5,69913-5,Yes,696,748,No,0,Yes,19,19,,,,,,Male,,"Separated well, < 24 hours"
200,Fort Yukon,Chinook,7/13/2023,"Keith Herron, Jaden Andrew",2:15 PM,2:17 PM,Fish Wheel,66.571148,-145.525657,20,20-F,20,20,,004-6,69913-6,Yes,720,784,Yes,250,Yes,20,20,,,,,,Male,,"Separated well, < 24 hours"
201,Fort Yukon,Chinook,7/13/2023,"Keith Herron, Jaden Andrew",2:52 PM,2:56 PM,Fish Wheel,66.571148,-145.525657,21,21-F,21,21,,004-7,69913-7,Yes,614,670,Yes,50,Yes,21,21,,,,,,Male,Torpedo fish (skinny),"Separated well, < 24 hours"
205,Fort Yukon,Chinook,7/14/2023,"Keith Herron, Jaden Andrew",5:52 PM,5:56 PM,Fish Wheel,66.571148,-145.525657,25,25-F,25,25,,005-3,69914-3,Yes,744,818,No,0,Yes,25,25,,,,,,Male,,"Separated well, < 24 hours"
206,Fort Yukon,Chinook,7/14/2023,"Keith Herron, Jaden Andrew",6:50 PM,6:56 PM,Fish Wheel,66.571148,-145.525657,26,26-F,26,26,,005-4,69914-4,Yes,696,760,Yes,20,Yes,26,26,,,,,,Male,,"Separated well, < 24 hours"
207,Fort Yukon,Chinook,7/14/2023,"Keith Herron, Jaden Andrew",4:00 PM,4:10 PM,Fish Wheel,66.571148,-145.525657,27,27-F,27,27,,005-5,69914-5,Yes,648,696,No,0,Yes,27,27,,,,,,Male,,"Separated well, < 24 hours"
208,Fort Yukon,Chinook,7/14/2023,"Keith Herron, Jaden Andrew",4:20 PM,4:25 PM,Fish Wheel,66.568393,-145.491025,28,28-F,28,28,,005-6,69914-6,Yes,654,702,Yes,100,Yes,28,28,,,,,,Male,Fresh lamprey lesion,"Separated well, < 24 hours"
209,Fort Yukon,Chinook,7/14/2023,"Keith Herron, Jaden Andrew",6:58 PM,7:03 PM,Fish Wheel,66.571148,-145.525657,29,29-F,29,29,,005-7,69914-7,Yes,784,842,Yes,17,Yes,29,29,,,,,,Male,White stryations,"Separated well, < 24 hours"
210,Fort Yukon,Chinook,7/15/2023,"Keith Herron, Jaden Andrew",11:45 AM,11:55 AM,Fish Wheel,66.571148,-145.525657,30,30-F,30,30,,008-1,69918-1,Yes,654,712,No,0,Yes,30,30,,,,,,Male,,"Separated well, < 24 hours"
212,Fort Yukon,Chinook,7/15/2023,"Keith Herron, Jaden Andrew",11:45 AM,11:55 AM,Fish Wheel,66.571148,-145.525657,32,32-F,32,32,,008-3,69918-3,Yes,688,746,No,0,Yes,32,32,,,,,,Male,,"Separated well, < 24 hours"
213,Fort Yukon,Chinook,7/15/2023,"Keith Herron, Jaden Andrew",11:45 AM,11:55 AM,Fish Wheel,66.568393,-145.491025,33,33-F,33,33,,008-4,69918-4,Yes,682,740,Yes,125,Yes,33,33,,,,,,Male,,"Separated well, < 24 hours"
214,Fort Yukon,Chinook,7/17/2023,"Keith Herron, Jaden Andrew",2:52 PM,2:58 PM,Fish Wheel,66.571148,-145.525657,34,34-F,34,34,,009-1,69922-1,Yes,772,840,No,0,Yes,34,34,,,,,,Male,,"Separated well, < 24 hours"
215,Fort Yukon,Chinook,7/17/2023,"Keith Herron, Jaden Andrew",7:02 PM,7:20 PM,Fish Wheel,66.571148,-145.525657,35,35-F,35,35,,009-2,69922-2,Yes,702,754,No,0,Yes,35,35,,,,,,Male,,"Separated well, < 24 hours"
216,Fort Yukon,Chinook,7/18/2023,"Keith Herron, Jaden Andrew",7:03 PM,7:21 PM,Fish Wheel,66.571148,-145.525657,36,36-F,36,36,,010-1,69926-1,Yes,668,724,No,0,Yes,36,36,,,,,,Male,,"Separated well, < 24 hours"
217,Fort Yukon,Chinook,7/18/2023,"Keith Herron, Jaden Andrew",7:40 PM,7:45 PM,Fish Wheel,66.571148,-145.525657,37,37-F,37,37,,010-2,69926-2,Yes,648,696,Yes,500,Yes,37,37,,,,,,Male,,Spun 5 mins centrifuge < 24 hours
218,Fort Yukon,Chinook,7/18/2023,"Keith Herron, Jaden Andrew",12:02 PM,12:12 PM,Fish Wheel,66.571148,-145.525657,38,38-F,38,38,,010-3,69926-3,Yes,552,598,Yes,125,Yes,38,38,,,,,,Male,"Clusters of spots, only 2 chunks of heart in qPCR vial. Realized mistake on 8/2/23. However should be enough tissue to run text. More than 20 mg (I think)","Separated well, < 24 hours"
