SIN,nmol_T_g,nmol_T_g_dw_corrected,nmol_T_egg,g_egg,pct_moisture,pct_lipid_wet,year,site,group,pct_dry_matter,pct_lipid_dry,pct_protein_est_dry,lipid_g,water_g,protein_g_est,country,broad_group,fine_group,fish_mass_kg,girth_mm,lat_n,long_w,length_nose_fork_mm,ich_visual_count,ich_visual_positive,collection_date,length_mideye_fork_mm
FOYU23_010,5.251353466,11.35926861,0.825261758,0.157166667,0.537703206,0.174211109,2023,FOYU,Transit,0.462296794,0.376838237,0.623161763,0.027380179,0.08450902,0.045277467,NA,NA,Canada,NA,NA,66.571148,-145.525657,904,0,FALSE,7/12/2023,848
FOYU23_015,7.332213693,15.69757302,0.820227651,0.1140125,0.532907814,0.225268809,2023,FOYU,Transit,0.467092186,0.482279122,0.517720878,0.02568346,0.060758152,0.027570888,NA,NA,Canada,NA,NA,66.571148,-145.525657,896,0,FALSE,7/13/2023,838
FOYU23_022,7.027328413,16.30714092,0.808219546,0.1152,0.569064348,0.16642871,2023,FOYU,Transit,0.430935652,0.386203158,0.613796842,0.019172587,0.065556213,0.0304712,NA,NA,Canada,NA,NA,66.571148,-145.525657,768,0,FALSE,7/13/2023,716
FOYU23_023,3.695755995,NA,0.766140405,0.20875,NA,NA,2023,FOYU,Transit,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,NA,66.568393,-145.491025,808,52,TRUE,7/14/2023,752
FOYU23_024,3.695755995,NA,0.766140405,0.20875,NA,NA,2023,FOYU,Transit,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,NA,66.571148,-145.525657,912,7,TRUE,7/14/2023,832
FOYU23_031,5.332201101,NA,0.901526532,0.169125,NA,NA,2023,FOYU,Transit,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,NA,66.571148,-145.525657,982,5,TRUE,7/15/2023,902
FOYU23_045,5.416104285,NA,0.557233565,0.102928571,NA,NA,2023,FOYU,Transit,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,NA,66.571148,-145.525657,738,0,FALSE,7/20/2023,692
FOYU23_050,4.753893867,NA,0.482933276,0.101631944,NA,NA,2023,FOYU,Transit,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,NA,66.571148,-145.525657,766,0,FALSE,7/20/2023,716
FOYU23_058,4.783660643,NA,0.628990639,0.1315,NA,NA,2023,FOYU,Transit,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,NA,66.571148,-145.525657,862,0,FALSE,7/24/2023,804
FOYU23_061,6.876697281,NA,0.944998519,0.1378,NA,NA,2023,FOYU,Transit,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,NA,66.571148,-145.525657,916,0,FALSE,7/24/2023,858
FOYU23_062,4.812158292,NA,0.515776149,0.107142857,NA,NA,2023,FOYU,Transit,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,NA,66.571148,-145.525657,704,0,FALSE,7/24/2023,658
FOYU23_067,5.794241487,13.02558098,0.843843778,0.1456,0.555164449,0.206968624,2023,FOYU,Transit,0.444835551,0.465269973,0.534730027,0.030134632,0.080831944,0.034633424,NA,NA,Canada,NA,NA,66.561473,-145.359862,878,0,FALSE,7/26/2023,806
